path,module,size_bytes,sha256,imported_by_count,current_imported_by_count,test_file_count,proposed_action,proposed_target,rollback_path
code/src/pi_jwm/v11_adaptive_gate.py,pi_jwm.v11_adaptive_gate,3855,ce67a76b2e73bcb4851ea507a98670d4354485e6b69dceddbb01aeafe2506f50,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_adaptive_gate.py
code/src/pi_jwm/v11_benefit_identifiability.py,pi_jwm.v11_benefit_identifiability,31204,db431de71d7752518a1440fc7d27e3ec45dd0f1a707145159766d7c0b77aeab9,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_benefit_identifiability.py
code/src/pi_jwm/v11_candidates.py,pi_jwm.v11_candidates,12717,9ecf88a8c29813421d5b21297b75aded3ba55c404a791fe0f8e56b9151723baa,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_candidates.py
code/src/pi_jwm/v11_crossfit.py,pi_jwm.v11_crossfit,17003,86cf32517564f57d9c0cda6f46aab9e61ef00a48cd1528151ed8627664c4029a,3,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_crossfit.py
code/src/pi_jwm/v11_interaction_selector.py,pi_jwm.v11_interaction_selector,20928,177c35727aeea3b7cd19053cd488c47de55b00a7d3c8296b1857d858476ee106,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_interaction_selector.py
code/src/pi_jwm/v11_interactions.py,pi_jwm.v11_interactions,12602,3649b7f04b98511c740599765c822c025d8e42c7533448dc3c7b6a54518485af,5,0,3,keep_in_place_logical_archive,,code/src/pi_jwm/v11_interactions.py
code/src/pi_jwm/v11_labeling.py,pi_jwm.v11_labeling,30337,b3e3e47ae33e354cd744f5bae10da6abd88df4f172abfc9fba54fd845757c0d3,15,0,4,keep_in_place_logical_archive,,code/src/pi_jwm/v11_labeling.py
code/src/pi_jwm/v11_objective_aligned_selector.py,pi_jwm.v11_objective_aligned_selector,33354,b84aec969d665abe1e2cb95870238b545eea58d06c013d92e27d73eb64a9a67e,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_objective_aligned_selector.py
code/src/pi_jwm/v11_phase_selector.py,pi_jwm.v11_phase_selector,9744,eebe0b5c3522e9f259135f2bb31f23734f9a64b1625be6249e5bc6dad6fe9967,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_phase_selector.py
code/src/pi_jwm/v11_physical_benefit.py,pi_jwm.v11_physical_benefit,28521,ff736370fa68014899e32794c285746190137c16478329c820d5aa862152a8c8,4,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/v11_physical_benefit.py
